origen,destino,fecha,duracion,precio,calidad_del_boleto
A Coruña,Santa Cruz de Tenerife,2026-07-08,41.66,159.33,Básico
Barcelona,Palma,2026-03-18,10.76,68.78,Básico
Almería,Melilla,2026-05-09,3.51,36.32,Básico
Vigo,A Coruña,2026-08-28,19.51,95.32,Básico
Bilbao,Santander,2026-09-05,8.4,77.99,Estándar
Málaga,Ceuta,2026-07-01,1.44,71.58,VIP
Cádiz,Bilbao,2026-07-30,17.51,105.92,Básico
Málaga,Cádiz,2026-07-17,13.44,76.87,Estándar
Alicante,Cádiz,2026-04-24,13.72,56.85,Básico
Cádiz,Las Palmas,2026-03-19,46.18,251.57,Premium
Cádiz,Las Palmas,2026-03-01,34.92,213.22,Premium
Barcelona,Alicante,2026-12-17,6.6,76.1,Básico
Las Palmas,Santander,2026-09-01,36.68,137.72,Básico
Cádiz,Ceuta,2026-06-04,6.14,53.2,Básico
A Coruña,Santa Cruz de Tenerife,2026-05-22,33.22,150.82,Estándar
Barcelona,Ibiza,2026-08-30,7.38,75.61,Básico
Valencia,Mahón,2026-08-29,6.89,127.3,Premium
Valencia,Palma,2026-04-07,12.1,95.24,Básico
Almería,Melilla,2026-07-12,3.46,33.62,Básico
Vigo,Las Palmas,2026-07-04,47.51,219.18,Básico
Valencia,Ibiza,2026-03-09,8.13,125.57,Premium
Vigo,Las Palmas,2026-12-20,43.09,179.79,Básico
Cádiz,Palma,2026-04-04,9.49,102.28,Estándar
A Coruña,Vigo,2026-10-14,20.9,101.07,Estándar
Almería,Melilla,2026-04-24,2.89,64.84,Estándar
Barcelona,Ibiza,2026-03-17,6.44,91.39,Básico
Barcelona,Ibiza,2026-05-18,11.54,117.44,VIP
Alicante,Ibiza,2026-05-17,5.96,66.12,Estándar
Vigo,Las Palmas,2026-11-14,35.14,165.39,Básico
Barcelona,Valencia,2026-12-07,14.44,72.0,Básico
Valencia,Palma,2026-05-13,7.38,128.7,Premium
Cádiz,Ceuta,2026-09-22,4.22,71.16,VIP
Alicante,Ibiza,2026-12-19,10.06,80.67,Básico
Ibiza,Barcelona,2026-05-16,6.44,76.29,Estándar
Valencia,Palma,2026-06-15,9.75,100.79,Estándar
Vigo,Las Palmas,2026-09-07,46.42,190.24,Básico
Alicante,Ibiza,2026-06-11,10.93,105.63,Estándar
Málaga,Ibiza,2026-12-12,11.27,101.98,Premium
Barcelona,Bilbao,2026-12-20,10.6,80.49,Básico
Santander,Alicante,2026-11-22,19.14,113.52,Estándar
Bilbao,A Coruña,2026-07-01,16.94,76.44,Básico
Bilbao,A Coruña,2026-10-18,17.61,95.41,Básico
Vigo,A Coruña,2026-07-29,15.19,107.66,Básico
A Coruña,Santa Cruz de Tenerife,2026-09-28,34.7,219.24,Premium
Valencia,Ibiza,2026-08-19,9.72,104.04,Premium
Barcelona,Valencia,2026-03-18,11.71,123.89,Premium
Cádiz,Santa Cruz de Tenerife,2026-07-28,40.09,209.15,Estándar
Almería,Melilla,2026-05-25,4.08,61.34,Estándar
Santa Cruz de Tenerife,Ibiza,2026-10-03,38.59,161.59,Estándar
Alicante,Ibiza,2026-11-05,6.34,53.52,Estándar
Almería,Melilla,2026-09-09,2.96,33.3,Básico
Santa Cruz de Tenerife,Barcelona,2026-10-07,37.36,215.15,Básico
Valencia,Mahón,2026-12-07,6.85,85.72,Estándar
A Coruña,Santa Cruz de Tenerife,2026-11-26,33.97,285.73,VIP
Málaga,Ceuta,2026-07-04,5.82,59.27,Básico
Santander,Santa Cruz de Tenerife,2026-05-18,48.21,175.6,Estándar
Huelva,Las Palmas,2026-10-31,46.64,232.47,Estándar
Cádiz,Las Palmas,2026-10-06,41.72,211.69,Premium
Bilbao,Santander,2026-12-20,8.35,92.47,Básico
Vigo,Santander,2026-03-31,9.16,103.88,Estándar
Barcelona,Valencia,2026-09-17,12.38,82.6,Básico
Valencia,Palma,2026-05-12,10.12,51.23,Básico
Barcelona,Valencia,2026-10-29,15.46,71.49,Básico
Santander,Las Palmas,2026-12-18,45.3,143.23,Básico
A Coruña,Huelva,2026-04-26,15.64,63.34,Básico
A Coruña,Almería,2026-05-15,10.59,92.33,Estándar
Vigo,Las Palmas,2026-04-09,42.3,150.98,Básico
Cádiz,Ceuta,2026-12-08,4.61,65.41,Básico
Cádiz,Santa Cruz de Tenerife,2026-05-08,44.2,197.33,Básico
Barcelona,Valencia,2026-04-16,16.98,91.37,Básico
Valencia,Mahón,2026-08-04,9.35,54.87,Básico
Valencia,Ibiza,2026-09-16,10.03,89.22,Estándar
Barcelona,Palma,2026-04-15,12.74,103.66,Estándar
Bilbao,Santander,2026-09-04,18.53,97.28,Básico
Valencia,Palma,2026-07-08,8.35,75.66,Estándar
Valencia,Palma,2026-05-23,11.67,140.45,VIP
Huelva,Las Palmas,2026-12-08,34.59,198.05,Premium
Almería,Melilla,2026-12-16,5.29,62.34,Estándar
Barcelona,Ibiza,2026-03-04,9.84,54.36,Básico
Alicante,Ibiza,2026-11-08,6.99,55.25,Básico
Barcelona,Ibiza,2026-05-15,12.78,99.78,VIP
Vigo,Las Palmas,2026-08-06,45.25,212.78,Estándar
Málaga,Melilla,2026-03-28,6.45,58.74,Básico
Barcelona,Ibiza,2026-11-13,11.82,67.51,Estándar
Cádiz,Santa Cruz de Tenerife,2026-09-15,49.31,237.37,Estándar
Barcelona,Palma,2026-03-29,7.79,69.37,Estándar
Bilbao,A Coruña,2026-12-10,15.17,80.89,Estándar
Barcelona,Ibiza,2026-03-26,7.39,44.15,Básico
Vigo,Las Palmas,2026-10-23,45.87,163.55,Básico
Barcelona,Mahón,2026-06-30,6.91,118.24,Premium
Bilbao,Santander,2026-05-15,16.81,97.05,VIP
Alicante,Ibiza,2026-04-29,9.12,56.99,Básico
Málaga,Cádiz,2026-07-26,10.78,72.65,Estándar
Mahón,Huelva,2026-07-15,6.99,98.3,Estándar
Santa Cruz de Tenerife,Cádiz,2026-08-26,49.57,212.01,Básico
Barcelona,Mahón,2026-07-29,11.24,97.5,Estándar
Ceuta,Santander,2026-10-18,5.43,54.73,Básico
Bilbao,Santander,2026-04-29,10.8,70.38,Estándar
Barcelona,Mahón,2026-09-05,10.43,71.38,Básico
Ceuta,Alicante,2026-12-20,3.65,52.39,Estándar
