origen,destino,fecha,duracion,precio,calidad_del_boleto
Madrid,Palma,2026-07-31,1.91,88.67,Premium
Sevilla,Barcelona,2026-05-29,0.96,73.61,Estándar
Sevilla,Las Palmas,2026-05-15,2.48,104.81,Básico
Barcelona,Melilla,2026-09-29,1.91,69.68,Básico
Madrid,Melilla,2026-06-02,1.01,69.47,Estándar
Barcelona,Sevilla,2026-06-19,1.54,80.41,Estándar
Sevilla,Las Palmas,2026-08-02,3.89,163.56,VIP
Barcelona,Palma,2026-04-01,1.05,100.78,Estándar
Madrid,Melilla,2026-11-18,1.3,43.27,Estándar
Vigo,Madrid,2026-06-12,1.41,47.7,Básico
Madrid,Santa Cruz de Tenerife,2026-05-23,2.78,70.16,Básico
Oviedo,Logroño,2026-11-14,0.77,69.38,Estándar
Madrid,Ibiza,2026-08-17,1.15,76.7,Básico
Madrid,Barcelona,2026-08-14,1.5,75.59,Básico
Barcelona,Santa Cruz de Tenerife,2026-08-17,2.77,118.38,Estándar
Palma,Ibiza,2026-11-20,0.96,86.09,Estándar
Madrid,Valencia,2026-09-05,1.29,46.69,Básico
Madrid,Ibiza,2026-05-09,1.76,94.22,Premium
Barcelona,Ibiza,2026-11-07,1.33,82.13,Básico
Barcelona,Palma,2026-10-01,0.95,66.94,Básico
Bilbao,Barcelona,2026-03-17,1.03,44.46,Estándar
A Coruña,Madrid,2026-11-28,1.98,49.96,Básico
Madrid,Melilla,2026-09-26,0.73,89.56,VIP
Santander,Vigo,2026-10-12,1.46,83.41,Básico
Barcelona,Sevilla,2026-10-11,1.01,62.43,Básico
Madrid,Las Palmas,2026-04-19,2.6,84.27,Estándar
Madrid,Barcelona,2026-06-21,1.07,101.52,Premium
Barcelona,Sevilla,2026-06-01,1.39,103.25,Premium
Barcelona,Granada,2026-04-07,1.52,63.58,Estándar
Málaga,Melilla,2026-09-06,1.19,61.52,Estándar
Bilbao,Barcelona,2026-03-16,1.29,67.86,Estándar
Alicante,Ibiza,2026-07-06,1.31,53.45,Básico
Sevilla,Barcelona,2026-05-30,1.22,86.32,Estándar
Madrid,Santa Cruz de Tenerife,2026-08-02,3.23,77.59,Básico
Logroño,Córdoba,2026-03-03,1.44,64.91,Básico
Málaga,Palma,2026-11-17,1.16,58.0,Básico
Madrid,Valencia,2026-12-18,0.97,52.76,Estándar
Sevilla,Barcelona,2026-05-21,0.81,45.3,Premium
Huelva,Las Palmas,2026-04-17,3.74,185.44,VIP
Sevilla,Barcelona,2026-03-08,1.61,45.72,Básico
Madrid,Barcelona,2026-03-21,1.41,77.71,Básico
Madrid,Ibiza,2026-12-16,1.23,75.77,Estándar
Madrid,Barcelona,2026-10-28,1.38,64.85,Básico
Madrid,Las Palmas,2026-05-16,2.57,122.89,Básico
Valencia,Palma,2026-06-11,0.91,60.78,Estándar
Valencia,Santa Cruz de Tenerife,2026-08-09,3.53,104.47,Básico
Málaga,Palma,2026-04-01,1.02,61.36,Estándar
Barcelona,Melilla,2026-05-12,1.03,70.8,Estándar
A Coruña,Madrid,2026-10-02,1.85,68.29,Básico
Barcelona,Las Palmas,2026-03-12,4.01,117.78,Básico
Barcelona,Ibiza,2026-04-06,1.11,82.39,Básico
Bilbao,Palma,2026-05-09,1.03,78.86,Estándar
A Coruña,Madrid,2026-09-05,1.45,54.7,Estándar
Bilbao,Barcelona,2026-06-03,1.6,42.06,Básico
Sevilla,Barcelona,2026-05-01,1.0,57.08,Básico
Barcelona,Las Palmas,2026-07-21,2.6,107.91,Básico
Girona,Ibiza,2026-09-16,1.26,82.8,Básico
Madrid,Las Palmas,2026-10-29,3.58,135.41,Básico
