origen,destino,fecha,duracion,precio,calidad_del_boleto
Barcelona,Melilla,2026-05-06,1.93,104.39,Premium
Vigo,Madrid,2026-10-03,1.4,112.43,Premium
Sevilla,Las Palmas,2026-11-14,3.78,123.79,Estándar
Málaga,Palma,2026-04-21,1.69,66.24,Básico
Salamanca,Barcelona,2026-10-18,1.6,54.94,Básico
Vigo,Madrid,2026-09-27,1.04,54.77,Básico
A Coruña,Madrid,2026-07-10,1.54,109.41,Estándar
Barcelona,Palma,2026-10-26,1.8,79.75,Premium
Valladolid,Alicante,2026-05-11,0.84,76.34,Básico
Barcelona,Palma,2026-08-30,1.21,73.61,Premium
Barcelona,Melilla,2026-12-19,1.02,84.64,Básico
Madrid,Barcelona,2026-11-27,0.71,44.74,Premium
Málaga,Palma,2026-04-04,1.74,169.92,Premium
Ibiza,Mahón,2026-12-09,1.27,91.08,Básico
Sevilla,Las Palmas,2026-09-06,4.29,170.7,Estándar
Málaga,Palma,2026-09-15,1.08,105.29,Básico
Barcelona,Ibiza,2026-07-04,1.24,65.91,Premium
A Coruña,Vigo,2026-06-21,0.76,152.77,VIP
Málaga,Palma,2026-12-14,1.97,60.01,Premium
Málaga,Palma,2026-04-27,0.89,60.73,Básico
Madrid,Palma,2026-04-20,1.24,106.47,Básico
Alicante,Ibiza,2026-05-22,0.96,102.91,VIP
Madrid,Las Palmas,2026-07-21,2.61,221.77,Premium
Sevilla,Barcelona,2026-05-27,1.24,60.26,Estándar
Gijón,Barcelona,2026-09-10,1.48,65.46,Básico
Alicante,Ibiza,2026-07-26,1.54,152.57,Premium
Murcia,Girona,2026-04-05,0.99,86.42,Básico
Alicante,Almería,2026-10-03,0.82,75.17,Básico
Madrid,Melilla,2026-10-04,1.42,62.26,Básico
Bilbao,Barcelona,2026-07-23,1.47,53.83,Premium
Pamplona,Granada,2026-07-08,1.5,87.85,Estándar
Melilla,Badajoz,2026-04-21,0.87,91.68,Premium
Barcelona,Granada,2026-12-15,1.73,121.94,Premium
Barcelona,Palma,2026-12-07,1.63,60.87,Básico
Madrid,Valencia,2026-08-16,1.62,62.35,Estándar
Las Palmas,Bilbao,2026-09-17,4.0,125.2,Premium
Barcelona,Ibiza,2026-12-14,1.0,73.81,Estándar
Madrid,Melilla,2026-08-27,1.07,71.6,Estándar
Barcelona,Palma,2026-08-15,1.85,159.44,VIP
Málaga,Palma,2026-09-04,1.12,80.87,Básico
Bilbao,Palma,2026-03-16,1.26,83.84,Premium
Madrid,Las Palmas,2026-03-09,3.08,126.52,Premium
Sevilla,Barcelona,2026-05-17,1.27,69.92,Estándar
Madrid,Ibiza,2026-05-16,1.0,69.06,Premium
Salamanca,Oviedo,2026-08-25,0.68,76.82,Premium
Valencia,A Coruña,2026-11-13,1.27,106.3,Estándar
Málaga,Tarragona,2026-08-30,1.06,85.81,Premium
Sevilla,Las Palmas,2026-06-14,3.73,183.2,Estándar
Badajoz,Tarragona,2026-05-27,0.7,94.03,Estándar
Madrid,Melilla,2026-03-01,0.8,48.2,Estándar
Cádiz,Logroño,2026-04-07,0.93,111.11,Estándar
Madrid,Palma,2026-07-26,1.7,178.03,VIP
Sevilla,Las Palmas,2026-09-25,3.91,155.89,Premium
Alicante,Ibiza,2026-03-31,0.99,106.78,Básico
Sevilla,Barcelona,2026-04-06,1.09,53.09,Estándar
Las Palmas,Santa Cruz de Tenerife,2026-10-11,2.59,106.95,Básico
Barcelona,Las Palmas,2026-03-19,4.24,181.58,Premium
Valladolid,Granada,2026-03-09,1.02,84.35,Básico
Córdoba,San Sebastián,2026-12-05,1.96,80.45,Básico
Bilbao,Barcelona,2026-05-13,1.57,110.02,Básico
Barcelona,Santa Cruz de Tenerife,2026-09-15,2.96,120.65,Premium
Sevilla,Las Palmas,2026-07-24,4.57,233.42,Premium
Madrid,Ibiza,2026-11-11,1.67,69.59,Básico
Bilbao,Barcelona,2026-04-30,1.22,132.0,Premium
Logroño,Córdoba,2026-09-07,1.07,63.13,Estándar
A Coruña,Madrid,2026-07-02,1.09,70.08,Premium
Málaga,Palma,2026-11-13,1.97,169.17,Premium
Zaragoza,Santa Cruz de Tenerife,2026-05-22,2.55,150.02,Premium
Barcelona,Melilla,2026-05-31,0.87,65.48,Estándar
Gijón,Valencia,2026-10-25,0.97,73.29,Básico
Madrid,Ibiza,2026-10-29,1.73,95.33,Básico
Sevilla,Barcelona,2026-07-16,1.22,71.14,Premium
Alicante,Ibiza,2026-03-24,1.71,68.13,Premium
Oviedo,Barcelona,2026-05-09,1.58,84.61,Básico
