origen,destino,duracion,precio,calidad_del_boleto
Cádiz,Bilbao,11.89,176.46,Estándar
A Coruña,Lugo,17.48,231.78,Básico
Gijón,Lugo,8.98,107.21,Premium
Palma,Valencia,15.97,249.44,Premium
Palma,A Coruña,11.68,185.21,Estándar
Barcelona,Castellón,10.85,174.82,Premium
Palma,Bilbao,11.71,127.6,Básico
Barcelona,Castellón,3.61,51.03,Premium
Palma,Huelva,15.56,191.33,Premium
Valencia,Cádiz,15.79,191.64,Estándar
Alicante,Almería,9.03,85.69,Estándar
Bilbao,Murcia,14.25,187.99,Estándar
A Coruña,Barcelona,5.0,75.69,Premium
Palma,Murcia,15.36,114.97,Premium
Vigo,Santa Cruz de Tenerife,15.84,180.1,Estándar
Barcelona,Castellón,6.0,74.51,Básico
Cádiz,Bilbao,7.09,102.56,Estándar
Alicante,Girona,10.66,109.3,Premium
Santander,Lugo,8.03,102.75,Estándar
A Coruña,Huelva,18.19,126.45,Básico
Murcia,Girona,3.2,66.79,Estándar
Bilbao,Palma,13.41,181.26,Premium
Santa Cruz de Tenerife,Tarragona,21.76,319.13,Estándar
Palma,Bilbao,17.09,203.92,Premium
Palma,Bilbao,12.9,168.32,Básico
Huelva,Murcia,5.31,73.33,Básico
Bilbao,Murcia,4.41,62.21,Básico
Almería,Bilbao,15.91,161.23,Premium
Lugo,Málaga,9.76,84.2,Básico
Valencia,Bilbao,12.25,178.58,Estándar
Las Palmas,Valencia,24.69,357.19,Estándar
Santander,Huelva,6.49,93.78,Básico
Barcelona,Castellón,13.05,103.96,Básico
Vigo,Almería,13.28,122.85,Premium
A Coruña,Cádiz,16.73,216.39,Estándar
Huelva,Murcia,4.41,78.62,Premium
A Coruña,Lugo,8.19,101.08,Básico
Lugo,Málaga,6.78,69.76,Premium
Lugo,Málaga,13.14,188.84,Estándar
Murcia,Huelva,15.85,247.73,Premium
Vigo,Las Palmas,19.27,201.65,Estándar
Murcia,Girona,5.74,85.47,Básico
Barcelona,Almería,10.11,112.04,Premium
Valencia,Almería,4.33,49.27,Básico
Almería,Cádiz,11.09,142.73,Estándar
A Coruña,Lugo,11.98,178.47,Estándar
Santa Cruz de Tenerife,Vigo,11.33,124.09,Estándar
Huelva,Málaga,13.8,204.99,Estándar
Gijón,Tarragona,4.65,54.41,Básico
Santander,Santa Cruz de Tenerife,21.75,277.42,Premium
A Coruña,Lugo,11.14,159.33,Estándar
Murcia,Castellón,12.61,150.05,Básico
Santa Cruz de Tenerife,Cádiz,15.47,118.0,Premium
Bilbao,Murcia,18.02,195.08,Premium
Santander,Santa Cruz de Tenerife,17.36,228.7,Básico
Palma,Huelva,15.64,243.19,Premium
Lugo,Las Palmas,22.42,282.25,Básico
Santander,Santa Cruz de Tenerife,20.26,203.94,Estándar
A Coruña,Barcelona,11.1,184.41,Estándar
Gijón,Valencia,4.9,95.27,Estándar
A Coruña,Lugo,10.33,170.28,Estándar
Palma,Cádiz,6.82,100.05,Premium
Barcelona,Santa Cruz de Tenerife,18.4,179.64,Premium
Huelva,Bilbao,11.9,196.86,Premium
Huelva,Murcia,17.83,289.96,Premium
Alicante,Girona,7.25,105.11,Básico
Vigo,Santa Cruz de Tenerife,27.21,239.55,Básico
Bilbao,Murcia,18.63,254.03,Premium
Lugo,Málaga,5.65,66.93,Básico
Castellón,Vigo,12.75,293.82,Premium
Palma,Valencia,10.02,139.77,Premium
Palma,Cádiz,13.94,122.72,Básico
A Coruña,Barcelona,10.5,148.19,Básico
Bilbao,Murcia,6.06,68.83,Estándar
Bilbao,Murcia,5.42,133.1,Premium
Tarragona,Valencia,15.0,147.88,Premium
Palma,Huelva,15.82,118.19,Básico
Alicante,Girona,13.88,194.94,Básico
Santa Cruz de Tenerife,Castellón,15.24,139.38,Estándar
Castellón,Vigo,10.67,270.38,VIP
Bilbao,Murcia,7.3,86.12,Premium
Barcelona,Santa Cruz de Tenerife,13.08,214.29,Estándar
Las Palmas,Vigo,11.32,259.74,VIP
Murcia,Cádiz,9.3,110.0,Premium
Santa Cruz de Tenerife,Lugo,18.89,136.41,Premium
A Coruña,Almería,5.29,50.76,Estándar
Murcia,Girona,16.15,203.49,Premium
Palma,Valencia,15.18,229.8,Básico
Alicante,Girona,15.12,148.03,Básico
Bilbao,Murcia,7.91,103.04,Estándar
Palma,Valencia,9.01,109.55,Premium
